id,category,query1,query2,label
24,咳血,百令胶囊能长期服用吗?,百令胶囊的服用方法是什么?,0.0
25,咳血,我国最常见的咯血原因是什么?,我国主要的咯血原因是什么?,1.0
26,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么导致的?,1.0
27,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血有哪些?,0.0
28,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血的种类有多少?,0.0
29,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么?,0.0
30,咳血,大咯血的处理原则是什么?,大咯血该怎么处理?,1.0
31,咳血,大咯血的处理原则是什么?,如何处理大咯血?,1.0
32,咳血,大咯血的处理原则是什么?,大咯血是什么情况?,0.0
33,咳血,大咯血的处理原则是什么?,大咯血的什么病?,0.0
34,咳血,大咯血的处理原则是什么?,大咯血的原因是什么?,0.0
35,咳血,咯血的话应该怎么抢救？,咯血的话应该怎么处理？,1.0
36,咳血,咯血的话应该怎么抢救？,咯血的话应该如何进行抢救？,1.0
37,咳血,咯血的话应该怎么抢救？,咯血的话应该去医院吗？,0.0
38,咳血,咯血的话应该怎么抢救？,咯血的话是什么原因造成的？,0.0
39,咳血,咯血的话应该怎么抢救？,咯血的话应该如何预防？,0.0
40,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是什么病症？,1.0
41,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是哪一种病呢？,1.0
42,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是病吗？,0.0
43,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血需要去看病吗？,0.0
44,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血这种病严重吗？,0.0
45,咳血,请问肺癌造成咯血的原因是什么?,请问为什么肺癌会造成咯血呢?,1.0
46,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌是如何导致咯血的？,1.0
47,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌会造成咯血吗？,0.0
48,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血应该如何治疗？,0.0
49,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血严重吗？,0.0
50,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血有什么治疗的方法？,1.0
51,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血该怎么治疗？,1.0
52,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血需要治疗吗？,0.0
53,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血严重吗？,0.0
54,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血是什么原因呢？,0.0
55,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎会造成咯血吗？,1.0
56,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎是否会导致咯血？,1.0
57,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血怎么办？,0.0
58,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血该怎么治疗？,0.0
59,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血吃什么药？,0.0
60,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是说明变好了？,1.0
61,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是情况好转了？,1.0
62,咳血,肺癌不咯血是不是情况好转了？,肺癌会不会咯血？,0.0
63,咳血,肺癌不咯血是不是情况好转了？,肺癌会导致咯血的情况吗？,0.0
64,咳血,肺癌不咯血是不是情况好转了？,肺癌和咯血有关系吗？,0.0
65,咳血,急性大咯血的症状有哪些？,急性大咯血会有什么症状呢？,1.0
66,咳血,急性大咯血的症状有哪些？,急性大咯血会出现什么样的症状？,1.0
67,咳血,急性大咯血的症状有哪些？,急性大咯血的种类有哪些？,0.0
68,咳血,急性大咯血的症状有哪些？,急性大咯血有哪些治疗方法？,0.0
69,咳血,急性大咯血的症状有哪些？,急性大咯血的原因是什么？,0.0
70,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊什么时候吃比较好？,1.0
71,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊适合饭前吃吗？,1.0
72,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊有副作用吗？,0.0
73,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊效果好不好？,0.0
74,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊可以和其他药一起吃吗？,0.0
75,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿服用百令胶囊可以吗？,1.0
76,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿是否可以吃百令胶囊？,1.0
77,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以服用感冒药吗？,0.0
78,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿吃什么药好？,0.0
79,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以治疗吗？,0.0
80,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适合什么样的症状？,1.0
81,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸的效果好吗？,1.0
82,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些副作用？,0.0
83,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适应孕妇服用吗？,0.0
84,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些注意事项？,0.0
85,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏是怎么使用的？,1.0
86,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏如何服用？,1.0
87,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏适合儿童服用吗？,0.0
88,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏有什么副作用呢？,0.0
89,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏的效果怎么样？,0.0
90,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是味道是怎样的？,1.0
91,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊味道好吗，苦还是咸？,1.0
92,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是苦的还是咸的？,0.0
93,咳血,你好百令胶囊是苦的还是咸的？,您好百令胶囊怎么服用?,0.0
94,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊的效果怎么样？,0.0
95,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊是如何服用的呢？,1.0
96,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道怎么服用百令胶囊？,1.0
97,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊适应什么样的症状？,0.0
98,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊可以和其他药物一起吃吗？,0.0
99,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊感冒的时候可以吃吗？,0.0
100,咳血,请问百令胶囊一天吃多少？,请问百令胶囊一天需要服用多少呢？,1.0
101,咳血,请问百令胶囊一天吃多少？,请问百令胶囊是一日三次吗？,1.0
102,咳血,请问百令胶囊一天吃多少？,请问百令胶囊的效果怎么样？,0.0
103,咳血,请问百令胶囊一天吃多少？,请问百令胶囊是苦的还是咸的？,0.0
104,咳血,请问百令胶囊一天吃多少？,请问百令胶囊的注意事项是什么？,0.0
105,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊会不会产生发烧的副作用？,1.0
106,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊是不是会有发烧的不良反应？,1.0
107,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊有什么作用？,0.0
108,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊可以治疗发烧吗？,0.0
109,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊怎么服用？,0.0
110,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸在药店买比医院更便宜吗？,1.0
111,咳血,立效止嗽立效丸药店比医院的便宜吗？,药店的立效止嗽立效丸的价格比医院的便宜一些吗？,1.0
112,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸是在医院购买吗？,0.0
113,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸药店有卖吗？,0.0
114,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸效果？,0.0
115,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒多少钱？,1.0
116,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒需要多少钱？,1.0
117,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒的用量是多少？,0.0
118,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒如何服用？,0.0
119,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒的副作用是什么？,0.0
120,咳血,西黄胶囊可以治疗肺结节吗,西黄胶囊可不可以治疗肺结节吗,1.0
121,咳血,西黄胶囊可以治疗肺结节吗,西黄胶囊能治疗肺结节吗,1.0
122,咳血,西黄胶囊可以治疗肺结节吗,肺结节是呼吸系统疾病吗,0.0
123,咳血,西黄胶囊可以治疗肺结节吗,那种中成药可以治肺结节,0.0
124,咳血,西黄胶囊可以治疗肺结节吗,治疗肺结节需要手术吗,0.0
125,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒一盒有几袋能喝几天,1.0
126,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒一盒装几袋能喝多长时间,1.0
127,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒有什么作用,0.0
128,咳血,益肺清化颗粒一盒有多少袋能喝多久,益肺清化颗粒主要成分是什么,0.0
129,咳血,益肺清化颗粒一盒有多少袋能喝多久,有肺结节可以吃益肺清化颗粒吗,0.0
130,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌化疗后复发，咳得厉害有什么办法,1.0
131,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,化疗后肺癌又复发了，咳嗽厉害怎么治,1.0
132,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌做过化疗后还用输液吗,0.0
133,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌做过化疗后是不是需要加强营养,0.0
134,咳血,肺癌做过化疗后来复发病人咳得厉害怎么办,肺癌做过化疗后需要注意什么,0.0
135,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚吃川黄口服液百令胶囊归还有什么,1.0
136,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚吃川黄口服液百令胶囊归还有哪种药,1.0
137,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚的症状有哪些,0.0
138,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚吃什么食物能补,0.0
139,咳血,"肾阴虚吃这三种,川黄口服液百令胶囊归和什么",肾阴虚该怎样治疗,0.0
140,咳血,荷叶丸这个药有什么样的作用,荷叶丸这个药有什么作用,1.0
141,咳血,荷叶丸这个药有什么样的作用,荷叶丸的作用是什么,1.0
142,咳血,荷叶丸这个药有什么样的作用,荷叶丸属于中成药吗,0.0
143,咳血,荷叶丸这个药有什么样的作用,荷叶丸有清热和化瘀的功效吗,0.0
144,咳血,荷叶丸这个药有什么样的作用,荷叶丸是中药吗,0.0
145,咳血,秦巴止血胶囊可以治疗什么病,秦巴止血胶囊用于治疗什么病,1.0
146,咳血,秦巴止血胶囊可以治疗什么病,什么病可以吃秦巴止血胶囊,1.0
147,咳血,秦巴止血胶囊可以治疗什么病,秦巴止血胶囊可以治疗咳嗽吐血吗,0.0
148,咳血,秦巴止血胶囊可以治疗什么病,鼻子出血可以吃秦巴止血胶囊吗,0.0
149,咳血,秦巴止血胶囊可以治疗什么病,秦巴止血胶囊成分有哪些,0.0
150,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊的功能有哪些,1.0
151,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊的有哪些功能,1.0
152,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊能治各种出血吗,0.0
153,咳血,秦巴止血胶囊的功能大吗,月经量大过多能吃秦巴止血胶囊吗,0.0
154,咳血,秦巴止血胶囊的功能大吗,秦巴止血胶囊治疗子宫肌瘤出血吗,0.0
155,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,肺癌能不能吃阿斯美复方甲氧那明胶囊,1.0
156,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,肺癌可以吃阿斯美复方甲氧那明胶囊吗,1.0
157,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,阿斯美复方甲氧那明胶囊能长期服用吗,0.0
158,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,哮喘可以吃阿斯美复方甲氧那明胶囊吗,0.0
159,咳血,肺癌能吃阿斯美复方甲氧那明胶囊吗,肺癌患者吃那种药能缓解咳嗽症状吗,0.0
160,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,阿斯美复方甲氧那明胶囊治疗咳嗽有效吗,1.0
161,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,阿斯美复方甲氧那明胶囊治疗咳嗽效果怎么样,1.0
162,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,长期服用阿斯美复方甲氧那明胶囊有哪些副作用,0.0
163,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,复方甲氧那明胶囊是治疗哮喘的常用药吗,0.0
164,咳血,阿斯美复方甲氧那明胶囊治疗咳嗽效果如何,阿斯美复方甲氧那明胶囊还治那种病,0.0
165,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者能同时服用西黄胶囊和中药吗,1.0
166,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者可以一块服用西黄胶囊和中药吗,1.0
167,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者可以把保健品代替药吗,0.0
168,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,西黄胶囊是中成药吗,0.0
169,咳血,肝癌患者可以同时服用西黄胶囊和中药吗,肝癌患者可以长期服用西黄胶囊吗,0.0
170,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊哪个效果好,1.0
171,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊哪个疗效好,1.0
172,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊都能治肺结核吗,0.0
173,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊能一起服用吗,0.0
174,咳血,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊都是中药吗,0.0
175,咳血,哪个牌子的达肺草疗效比较好呢,达肺草哪个牌子疗效比较好呢,1.0
176,咳血,哪个牌子的达肺草疗效比较好呢,什么牌子的达肺草效果比较好呢,1.0
177,咳血,哪个牌子的达肺草疗效比较好呢,达肺草能治疗肺纤维化吗,0.0
178,咳血,哪个牌子的达肺草疗效比较好呢,达肺草对于治疗急慢性呼吸道疾病效果怎么样,0.0
179,咳血,哪个牌子的达肺草疗效比较好呢,达肺草属于中草药吗,0.0
180,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸可以治疗哪些疾病,1.0
181,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸适用哪些疾病,1.0
182,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,脾胃不好的人可以吃同仁堂百补增力丸吗,0.0
183,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸的成分有哪些,0.0
184,咳血,同仁堂百补增力丸可以用来治疗哪些疾病,同仁堂百补增力丸是什么药,0.0
185,咳血,你好百令胶囊吃多久见效,百令胶囊吃多长时间见效,1.0
186,咳血,你好百令胶囊吃多久见效,百令胶囊服用几天可见成效,1.0
187,咳血,你好百令胶囊吃多久见效,气管炎可以吃百令胶囊吗,0.0
188,咳血,你好百令胶囊吃多久见效,百令胶囊能长期吃吗,0.0
189,咳血,你好百令胶囊吃多久见效,百令胶囊的十大功效是什么,0.0
190,咳血,咨询一下百令胶囊是处方药吗,咨询一下百令胶囊是非处方药吗,1.0
191,咳血,咨询一下百令胶囊是处方药吗,咨询一下百令胶囊是不是处方药,1.0
192,咳血,咨询一下百令胶囊是处方药吗,百令胶囊适用多大年龄的人,0.0
193,咳血,咨询一下百令胶囊是处方药吗,各大药店能买到百令胶囊吗,0.0
194,咳血,咨询一下百令胶囊是处方药吗,感冒咳嗽能吃百令胶囊吗,0.0
195,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,小孩吃了富露施咳嗽更厉害了是为什么,1.0
196,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,小孩吃了富露施咳嗽更厉害了是什么原因,1.0
197,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,小孩感冒咳嗽能吃富露施吗,0.0
198,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,多大的小孩可以吃富露施,0.0
199,咳血,为什么小孩吃了富露施咳嗽更厉害了呢,患有哮喘的孩子可以吃富露施吗,0.0
200,咳血,孕妇可以吃百补增力丸吗,孕妇能吃百补增力丸吗,1.0
201,咳血,孕妇可以吃百补增力丸吗,孕妇可以服用百补增力丸吗,1.0
202,咳血,孕妇可以吃百补增力丸吗,百补增力丸适合儿童吃吧,0.0
203,咳血,孕妇可以吃百补增力丸吗,百补增力丸主要用于开胃健脾吗,0.0
204,咳血,孕妇可以吃百补增力丸吗,患有高血压可以吃百补增力丸吗,0.0
205,咳血,血热月经淋漓半月可以吃断血流片吗,血热月经淋漓半月适合吃断血流片吗,1.0
206,咳血,血热月经淋漓半月可以吃断血流片吗,血热月经淋漓半月还能吃断血流片吗,1.0
207,咳血,血热月经淋漓半月可以吃断血流片吗,断血流片适应症有哪些,0.0
208,咳血,血热月经淋漓半月可以吃断血流片吗,断血流片是中药还是西药,0.0
209,咳血,血热月经淋漓半月可以吃断血流片吗,吃断血流片忌口吗,0.0
210,咳血,两岁半宝宝复方鲜竹沥液怎么用20ML,两岁半宝宝复方鲜竹沥液一次喝多少,1.0
211,咳血,两岁半宝宝复方鲜竹沥液怎么用20ML,两岁半宝宝复方鲜竹沥液一次喝20ML吗,1.0
212,咳血,两岁半宝宝复方鲜竹沥液怎么用20ML,两岁半宝宝感冒咳嗽能复方鲜竹沥液吗,0.0
213,咳血,两岁半宝宝复方鲜竹沥液怎么用20ML,复方鲜竹沥液成人一次喝多少毫升,0.0
214,咳血,两岁半宝宝复方鲜竹沥液怎么用20ML,宝宝扁桃体发炎能喝复方鲜竹沥液吗,0.0
215,咳血,鸦胆子油软胶囊对癌症晚期有用吗,鸦胆子油软胶囊对癌症晚期有效吗,1.0
216,咳血,鸦胆子油软胶囊对癌症晚期有用吗,癌症晚期吃鸦胆子油软胶囊还有用吗,1.0
217,咳血,鸦胆子油软胶囊对癌症晚期有用吗,感冒患者能用鸦胆子油软胶囊吗,0.0
218,咳血,鸦胆子油软胶囊对癌症晚期有用吗,鸦胆子油软胶囊是治疗什么病的,0.0
219,咳血,鸦胆子油软胶囊对癌症晚期有用吗,鸦胆子油软胶囊副作用大吗,0.0
220,咳血,肺内膜结核好了还吃补肺丸行吗,肺内膜结核好了还需要继续吃补肺丸吗,1.0
221,咳血,肺内膜结核好了还吃补肺丸行吗,肺内膜结核痊愈后还继续吃补肺丸吗,1.0
222,咳血,肺内膜结核好了还吃补肺丸行吗,只要是结核病都能吃补肺丸吗,0.0
223,咳血,肺内膜结核好了还吃补肺丸行吗,补肺丸主要治那种病,0.0
224,咳血,肺内膜结核好了还吃补肺丸行吗,肺内膜结核是怎么回事,0.0
225,咳血,百令胶囊的服用时间是怎么样的呢,百令胶囊的用法用量,1.0
226,咳血,百令胶囊的服用时间是怎么样的呢,百令胶囊一天吃几次,1.0
227,咳血,百令胶囊的服用时间是怎么样的呢,百令胶囊可以长期服用吗,0.0
228,咳血,百令胶囊的服用时间是怎么样的呢,长期服用百令胶囊有什么危害,0.0
229,咳血,百令胶囊的服用时间是怎么样的呢,百令胶囊禁忌高血压心脏病患者吗,0.0
230,咳血,服用鹤蟾片有什么不良反应,服用鹤蟾片有哪些不良反应,1.0
231,咳血,服用鹤蟾片有什么不良反应,服用鹤蟾片有哪些副作用,1.0
232,咳血,服用鹤蟾片有什么不良反应,鹤蟾片的功效有哪些,0.0
233,咳血,服用鹤蟾片有什么不良反应,鹤蟾片用于哪些病症,0.0
234,咳血,服用鹤蟾片有什么不良反应,鹤蟾片是中药还是西药,0.0
235,咳血,大补阴丸饭前服用还是饭后服用呢,大补阴丸的服用时间是饭前还是餐后,1.0
236,咳血,大补阴丸饭前服用还是饭后服用呢,大补阴丸应该在餐前还是饭后吃,1.0
237,咳血,大补阴丸饭前服用还是饭后服用呢,肺结核可以吃大补阴丸吗,0.0
238,咳血,大补阴丸饭前服用还是饭后服用呢,成人儿童都能服用大补阴丸吗,0.0
239,咳血,大补阴丸饭前服用还是饭后服用呢,大补阴丸对糖尿病有疗效吗,0.0
240,咳血,同仁堂二母宁嗽丸的疗效好不好,同仁堂二母宁嗽丸的疗效怎么样,1.0
241,咳血,同仁堂二母宁嗽丸的疗效好不好,同仁堂二母宁嗽丸的疗效好吗,1.0
242,咳血,同仁堂二母宁嗽丸的疗效好不好,怀孕的妈妈咳嗽可以吃同仁堂二母宁嗽丸吗,0.0
243,咳血,同仁堂二母宁嗽丸的疗效好不好,肺炎可以吃同仁堂二母宁嗽丸吗,0.0
244,咳血,同仁堂二母宁嗽丸的疗效好不好,服用同仁堂二母宁嗽丸有什么注意事项吗,0.0
245,咳血,大补阴丸多少钱可以买到一盒呢,大补阴丸多少钱一盒,1.0
246,咳血,大补阴丸多少钱可以买到一盒呢,大补阴丸一盒几块钱,1.0
247,咳血,大补阴丸多少钱可以买到一盒呢,大补阴丸各大药店有售吗,0.0
248,咳血,大补阴丸多少钱可以买到一盒呢,糖尿病患者吃大补阴丸的同时还可以吃别的药吗,0.0
249,咳血,大补阴丸多少钱可以买到一盒呢,吃大补阴丸需要忌吃那种食物吗,0.0
250,咳血,在徐州云龙区哪里有卖雷氏大补阴丸的呢,徐州云龙区哪里有售雷氏大补阴丸的,1.0
251,咳血,在徐州云龙区哪里有卖雷氏大补阴丸的呢,在徐州云龙区哪里可以买到雷氏大补阴丸的,1.0
252,咳血,在徐州云龙区哪里有卖雷氏大补阴丸的呢,雷氏大补阴丸有什么功效与作用,0.0
253,咳血,在徐州云龙区哪里有卖雷氏大补阴丸的呢,雷氏大补阴丸和大补阴丸的功效作用一样吗,0.0
254,咳血,在徐州云龙区哪里有卖雷氏大补阴丸的呢,服用雷氏大补阴丸忌辛辣食物吗,0.0
255,咳血,富露施乙酰半胱氨酸颗粒对身体的危害大吗,富露施乙酰半胱氨酸颗粒对身体有危害吗,1.0
256,咳血,富露施乙酰半胱氨酸颗粒对身体的危害大吗,富露施乙酰半胱氨酸颗粒对身体有影响吗,1.0
257,咳血,富露施乙酰半胱氨酸颗粒对身体的危害大吗,富露施乙酰半胱氨酸颗粒是治疗慢性支气管炎的吗,0.0
258,咳血,富露施乙酰半胱氨酸颗粒对身体的危害大吗,富露施乙酰半胱氨酸颗粒能和牛奶一起喝吗,0.0
259,咳血,富露施乙酰半胱氨酸颗粒对身体的危害大吗,服用富露施乙酰半胱氨酸颗粒需要忌口吗,0.0
260,咳血,银诺克利肺片买哪个厂家生产的好呢,银诺克利肺片选哪个生产厂家的好呢,1.0
261,咳血,银诺克利肺片买哪个厂家生产的好呢,银诺克利肺片效果好的厂家是哪个,1.0
262,咳血,银诺克利肺片买哪个厂家生产的好呢,银诺克利肺片能治肺结核吗,0.0
263,咳血,银诺克利肺片买哪个厂家生产的好呢,银诺克利肺片是不是中成药,0.0
264,咳血,银诺克利肺片买哪个厂家生产的好呢,吃银诺克利肺片副作用大吗,0.0
265,咳血,立先裸花紫珠胶囊有什么样的功效效果好吗,立先裸花紫珠胶囊有啥作用效果好吗,1.0
266,咳血,立先裸花紫珠胶囊有什么样的功效效果好吗,立先裸花紫珠胶囊的疗效好吗,1.0
267,咳血,立先裸花紫珠胶囊有什么样的功效效果好吗,什么体质的人群不宜立先裸花紫珠胶囊,0.0
268,咳血,立先裸花紫珠胶囊有什么样的功效效果好吗,立先裸花紫珠胶囊可用于呼吸道和消化道出血吗,0.0
269,咳血,立先裸花紫珠胶囊有什么样的功效效果好吗,急性传染性肝炎可以用立先裸花紫珠胶囊吗,0.0
270,咳血,葵花胃康灵胶囊哪个牌子比较好,胃康灵胶囊哪个牌子比较好,1.0
271,咳血,葵花胃康灵胶囊哪个牌子比较好,哪个牌子的胃康灵胶囊好,1.0
272,咳血,葵花胃康灵胶囊哪个牌子比较好,葵花胃康灵胶囊是专治胃病的药吗,0.0
